reference number,,,,,,,,,,,,,,
N,Affiliation,Event,Date,Time Start,Time End,Total Time,Location,City,State,Venue,Notes,lat,lon,Tally
28,Critter Creek Farm Animal Sanctuary,Open House,2019-03-23,14:00,17:00,3,12626 NW CR 231,Gainesville,FL,Critter Creek Farm Animal Sanctuary,,29.772379,-82.356678,
29,Ocala Vegfest,"""A Call to Action"", talk given by Vegan Drewski",2019-03-24,10:30,13:00,2.5,Ocala Downtown Market,Ocala,FL,Ocala Downtown Market,,29.183751,-82.133921,
30,Fighting Animal Cruelty Together ,Animals in Our Lives,2019-03-29,19:00,22:00,3,115 S Main St,Gainesville,FL,The Tench,,29.650378,-82.324834,
31,Fighting Animal Cruelty Together ,Empowered Vegan Outreach Workshop,2019-04-06,15:00,16:00,1,Rittenhouse Square,Pennsylvania,PA,University of Pennsylvania,,39.952043,-75.193883,15
32,Fighting Animal Cruelty Together ,Change my mind,2019-04-07,13:00,15:00,2,Rittenhouse Square,Pennsylvania,PA,Rittenhouse Square,,39.949656,-75.171663,
33,Fighting Animal Cruelty Together ,Change my mind,2019-04-20,15:30,17:30,2,"102 Saint George St, Saint Augustine",St. Augustine,FL,Park,,29.894656,-81.312949,
34,Fighting Animal Cruelty Together ,Change my mind,2019-04-23,17:30,19:30,2,Turlington Plaza,Gainesville,FL,Turlington Plaza,"Eating dogs is moral, Change my mind",29.6491,-82.3437,
35,NEAVS,Protest Monkey Experimentation,2019-04-24,17:30,19:30,2,Turlington Plaza,Gainesville,FL,Turlington Plaza,,29.6491,-82.3437,
36,Fighting Animal Cruelty Together ,Change my mind,2019-04-26,19:30,22:30,3,SE 1st st and 2nd ave,Gainesville,FL,Downtown,,29.6503,-82.323927,
37,Fighting Animal Cruelty Together ,Horse Drawn Carriage Protest,2019-05-04,16:00,17:00,1,"102 Saint George St, Saint Augustine",St. Augustine,FL,Downtown,,29.894656,-81.312949,
38,Fighting Animal Cruelty Together ,Anonymous for the Voiceless Meet and Greet + Pot Luck,2019-05-11,11:00,15:00,6,"2220 SW 146th St, Newberry, FL 32669",Newberry,FL,Peacefield Farm Sanctuary,,29.631609,-82.501112,
39,Direction Action Everywhere,Animal Liberation Conference,,,,,"2425 Channing Way, Berkeley, CA 94704",Berkeley,CA,Animal Rights Center,,37.867019,-122.25948,
40,Animal Rights Foundation of Florida,Horse Drawn Carriage Protest,2019-06-22,16:00,17:00,1,"102 Saint George St, Saint Augustine",St. Augustine,FL,Downtown,,29.894656,-81.312949,
41,Fighting Animal Cruelty Together ,Change my mind,2019-06-29,15:00,17:00,2,"102 Saint George St, Saint Augustine",St. Augustine,FL,Downtown,,29.894656,-81.312949,
42,Fighting Animal Cruelty Together ,Vegan Potluck,2019-07-06,16:00,18:30,2.5,14385 NW 268 st,High Springs,FL,Peace and Serenity Sanctuary,,29.786962,-82.625404,
43,Fighting Animal Cruelty Together ,Change my mind,2019-07-06,22:00,23:00,1,SE 1st st and 2nd ave,Gainesville,FL,Downtown Gainesville,,29.6503,-82.323927,
44,Fighting Animal Cruelty Together ,Change my mind,2019-07-28,14:00,16:30,2.5,memorial park,Jacksonville,FL,memorial park,,30.310238,-81.679307,
45,Fighting Animal Cruelty Together ,Change my mind,2019-08-02,20:00,22:00,2,1059 park st,Jacksonville,FL,five points,,30.3139,-81.681084,
46,Animal Rights March,"Animal Rights March 2019, Jacksonville",2019-08-10,12:00,14:00,2,1059 park st,Jacksonville,FL,park,,30.3139,-81.681084,
47,Fighting Animal Cruelty Together ,Change my mind,2019-08-17,12:00,14:00,2,Lake Eola,Orlando,FL,Lake Eola,,28.543247,-81.373479,
48,Animal Rights March,"Animal Rights March 2019, Orlando",2019-08-17,16:00,19:00,3,Lake Eola,Orlando,FL,Lake Eola,,28.543247,-81.373479,
49,Animal Rights Foundation of Florida,Protest against gator hunt,2019-08-25,17:00,18:30,1.5,Cameron Right Park,Sanford,FL,Cameron Right Park,,28.786779,-81.183476,
50,Fighting Animal Cruelty Together ,Community Event,2019-09-08,18:00,19:00,1,Karma Cream,Gainesville,FL,Karma Cream,,29.651976,-82.331274,
51,Fighting Animal Cruelty Together ,Change my mind,2019-09-14,13:00,15:00,2,Riverside Arts Market,Jackonsville,FL,Riverside Arts Market,,30.316902,-81.676307,
52,Fighting Animal Cruelty Together ,Change my mind,2019-09-28,12:00,13:00,1,Riverside Arts Market,Jackonsville,FL,Riverside Arts Market,,30.316902,-81.676307,
53,Independent,Change my mind,2019-11-15,17:30,19:00,1.5,1059 park st,Jacksonville,FL,five points,,30.3139,-81.681084,2
54,Independent,Change my mind,2019-11-16,14:00,16:00,2,"102 Saint George St, Saint Augustine",St. Augustine,FL,Downtown,,29.894656,-81.312949,
55,Independent,Fur Protest,2019-11-24,11:30,12:30,1,Lori + Lulu shop,Fernandina,FL,Lori and Lulu,,30.671264,-81.463207,
56,Independent,Change my mind,2019-11-24,16:00,17:30,1.5,1059 park st,Jacksonville,FL,five points,,30.3139,-81.681084,
