#Metadata,,,,,,,,,,,,,,,,,,,,
"# Name, Affiliation, contact info: Andrew Nguyen, University of Vermont, PhD candidate, email - anbe642@gmail.com",,,,,,,,,,,,,,,,,,,,
# Financial support: National Science Foundation DEB Award # 1136644,,,,,,,,,,,,,,,,,,,,
"#Methods and Data collection: Between 2014-2015, ant colonies within the genus Aphaenogaster  were collected from FL to Maine. We seearched Flat woods and mix hardwood habitats. These ants were allowed to acclimate at 25 C in a common garden experiment and were heat shocked in a slow ramping assay at 0.1C/min. ",,,,,,,,,,,,,,,,,,,,
"# Column explanations: n = numbering each row; Collection.date = date collected the colony; site = location of where colony was collected; state = State for which colony was collected; queen_status= QR is queenright and QL is queenless; lat= latitude in degrees decimals; lon = longitude in degrees decimals; genus= genus of ant; species= species of ant, includes outgroup; rad_seq_species = ddRAD-seq species designations; KO_temp_worker= Knock down temperature of ant, averaged among 4 individuals; colony.id= original names; colony.id2= more standardized names; Alt_names= more standardized labeling(SHC should be Lexington site); mean_ind_weight_mg= average weight of 4 individuals in mgs; habitat = specific habitat type; habitat_v2= simplified habitat type; nest.location = where ant colonies were found(simplified) ; collectors = who collected the colony, ANBE=Andrew Nguyen, KM= Katie Miller, MH= Mike Herrmann, SHC= Sara Helms Cahan, Lloyd Davis, LD= Lloyd Davis; HA= Heather Axen, tree_cover ranges from 0-100 percent got it from https://catalog.data.gov/dataset/nlcd-2011-percent-tree-canopy-cartographic",,,,,,,,,,,,,,,,,,,,
"# Data layout and structure: Long format, Mostly everything is a factor except: lat, lon, KO_temp_worker, mean_ind_weight_mg, n--these are continuous variables",,,,,,,,,,,,,,,,,,,,
n,Collection.date,site,state,queen_satus,location,lat,lon,genus,species,rad_seq_species,colony.id,colony.id2,Alt_names,KO_temp_worker,mean_ind_weight_mg,habitat,habitat_v2,nest.location,collectors,tree_canopy
11,20140617,longleaf flatwoods reserve,FL,QR,LPR,29.563611,-82.192778,Aphaenogaster,ashmeadi,ashmeadi,LPR2,LPR2,LPR2,43.275,1.49125,flat woods,flat woods,sand,"ANBE, KM, Lloyd Davis",0
12,20140617,longleaf flatwoods reserve,FL,QL,LPR,29.563611,-82.192778,Aphaenogaster,ashmeadi,ashmeadi,LPR4,LPR4,LPR4,41.9,1.44375,flat woods,flat woods,sand,"ANBE, KM, Lloyd Davis",0
13,20140617,SWSR45,FL,QL,SWSR,29.563611,-82.193056,Aphaenogaster,tennesseensis,tennesseensis,SWSR45-1,SWSR45-1,SWSR45-1,41.075,1.535,deciduous forest,deciduous forest,tree,"ANBE, KM, Lloyd Davis",59
14,20140617,Key Heights,FL,QR,KH,29.809627,-82.008941,Aphaenogaster,floridana,floridana,KH7,KH7,KH7,42.725,0.67875,"open, sandy soil",flat woods,sand,"ANBE,KM",0
15,20140617,Key Heights,FL,QR,KH,29.809627,-82.008941,Aphaenogaster,floridana,floridana,KH8,KH8,KH8,41.96666667,1.0475,"open, sandy soil",flat woods,sand,"ANBE,KM",0
16,20140618,Kite,GA,QR,Kite,32.6925,-82.514167,Aphaenogaster,rudis,miamiana,Kite1,Kite1,Kite1,40.775,0.85875,deciduous forest,deciduous forest,log,"ANBE,KM",100
17,20140618,Kite,GA,?,Kite,32.6925,-82.514167,Aphaenogaster,fulva,fulva,Kite2,Kite2,Kite2,41.3,0.71,deciduous forest,deciduous forest,log,"ANBE,KM",100
18,20140618,Kite,GA,?,Kite,32.6925,-82.514167,Aphaenogaster,rudis,miamiana,Kite3,Kite3,Kite3,41.275,0.57125,deciduous forest,deciduous forest,log,"ANBE,KM",100
19,20140618,Kite,GA,?,Kite,32.6925,-82.514167,Aphaenogaster,fulva,fulva,Kite4,Kite4,Kite4,40.45,0.70125,deciduous forest,deciduous forest,log,"ANBE,KM",100
20,20140618,Kite,GA,?,Kite,32.6925,-82.514167,Aphaenogaster,rudis,miamiana,Kite5,Kite5,Kite5,41.45,0.735,deciduous forest,deciduous forest,log,"ANBE,KM",100
21,20140618,Kite,GA,QR,Kite,32.6925,-82.514167,Aphaenogaster,fulva,fulva,Kite8,Kite8,Kite8,38.7,0.9,deciduous forest,deciduous forest,tree,"ANBE,KM",100
22,20140619,Hitchcock Woods,SC,QR,HW,33.555278,-81.734444,Aphaenogaster,tennesseensis,lamellidens,HW1,HW1,HW1,41.9,1.4,deciduous forest,deciduous forest,tree,"ANBE,KM",70
23,20140619,Hitchcock Woods,SC,QL,HW,33.561944,-81.733056,Aphaenogaster,rudis,miamiana,HW2,HW2,HW2,41.6,0.77,deciduous forest,deciduous forest,log,"ANBE,KM",70
24,20140619,Hitchcock Woods,SC,QL,HW,33.561944,-81.733056,Aphaenogaster,rudis,miamiana,HW3,HW3,HW3,41.1666,0.846666667,deciduous forest,deciduous forest,sand,"ANBE,KM",70
25,20140619,Hitchcock Woods,SC,QR,HW,33.561944,-81.733056,Aphaenogaster,rudis,miamiana,HW4,HW4,HW4,40.425,0.445,deciduous forest,deciduous forest,log,"ANBE,KM",70
26,20140619,Hitchcock Woods,SC,QR,HW,33.561944,-81.733056,Aphaenogaster,ashmeadi,ashmeadi,HW5,HW5,HW5,42.975,0.65625,deciduous forest,deciduous forest,sand,"ANBE,KM",70
27,20140619,Hitchcock Woods,SC,QR,HW,33.561944,-81.733056,Aphaenogaster,rudis,rudis,HW6,HW6,HW6,39.65,0.8775,deciduous forest,deciduous forest,sand,"ANBE,KM",70
28,20140619,Hitchcock Woods,SC,QR,HW,33.561944,-81.733056,Aphaenogaster,fulva,miamiana,HW7,HW7,HW7,41.2,0.62375,deciduous forest,deciduous forest,sand,"ANBE,KM",70
29,20140624,Duke Forest,NC,QR,DUKE,36.0355,-79.07735,Aphaenogaster,rudis,rudis,DUKE1,DUKE1,DUKE1,41.6,0.5025,deciduous forest,deciduous forest,log,"ANBE,MH",100
30,20140624,Duke Forest,NC,QR,DUKE,36.0355,-79.07735,Aphaenogaster,rudis,miamiana,DUKE2,DUKE2,DUKE2,41.35,0.65875,deciduous forest,deciduous forest,log,"ANBE,MH",100
31,20140624,Duke Forest,NC,QR,DUKE,36.0355,-79.07735,Aphaenogaster,rudis,rudis,DUKE3,DUKE3,DUKE3,41.35,0.7975,deciduous forest,deciduous forest,log,"ANBE,MH",100
32,20140624,Duke Forest,NC,QR,DUKE,36.0355,-79.07735,Aphaenogaster,rudis,rudis,DUKE4,DUKE4,DUKE4,40.675,0.83375,deciduous forest,deciduous forest,log,"ANBE,MH",100
33,20140624,Duke Forest,NC,QR,DUKE,36.0355,-79.07735,Aphaenogaster,rudis,rudis,DUKE5,DUKE5,DUKE5,41.625,0.90625,deciduous forest,deciduous forest,log,"ANBE,MH",100
34,20140624,Duke Forest,NC,QR,DUKE,36.0355,-79.07735,Aphaenogaster,mariae,lamellidens,DUKE6,DUKE6,DUKE6,42.075,1.64875,deciduous forest,deciduous forest,tree,"ANBE,MH",100
35,20140624,Duke Forest,NC,QR,DUKE,36.0355,-79.07735,Aphaenogaster,fulva,fulva,DUKE7,DUKE7,DUKE7,40.85,0.605,deciduous forest,deciduous forest,log,"ANBE,MH",100
36,20140624,Duke Forest,NC,QR,DUKE,36.0355,-79.07735,Aphaenogaster,lamellidens,lamellidens,DUKE8,DUKE8,DUKE8,42.3,1.3825,deciduous forest,deciduous forest,tree,"ANBE,MH",100
37,20140624,Duke Forest,NC,QR,DUKE,36.0355,-79.07735,Aphaenogaster,lamellidens,lamellidens,DUKE9,DUKE9,DUKE9,42.1,1.56625,deciduous forest,deciduous forest,log,"ANBE,MH",100
38,20140624,Fort Bragg,NC,QR,Fbragg,35.09546,-79.31788,Aphaenogaster,floridana,floridana,Fbragg1,Fbragg1,Fbragg1,43.1,1.00125,sandhills,flat woods,sand,"ANBE,MH",48
39,20140624,Fort Bragg,NC,QR,Fbragg,35.09546,-79.31788,Aphaenogaster,ashmeadi,ashmeadi,Fbragg2,Fbragg2,Fbragg2,42.975,0.94875,sandhills,flat woods,sand,"ANBE,MH",48
40,20140624,Fort Bragg,NC,QR,Fbragg,35.09546,-79.31788,Aphaenogaster,floridana,floridana,Fbragg3,Fbragg3,Fbragg3,43,1.265,sandhills,flat woods,sand,"ANBE,MH",48
41,20140624,Fort Bragg,NC,QL,Fbragg,35.09546,-79.31788,Aphaenogaster,floridana,floridana,Fbragg4,Fbragg4,Fbragg4,43.175,1.09,sandhills,flat woods,sand,"ANBE,MH",48
42,20140624,Fort Bragg,NC,QR,Fbragg,35.09546,-79.31788,Aphaenogaster,floridana,ashmeadi,Fbragg5,Fbragg5,Fbragg5,43.1,1.14625,sandhills,flat woods,sand,"ANBE,MH",48
43,20140625,Lexington,VA,QL,LEX,37.66831,-79.211,Aphaenogaster,?,rudis,LEX1,LEX1,LEX1,41.75,0.95375,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",91
44,20140625,Lexington,VA,QL,LEX,37.66831,-79.211,Aphaenogaster,fulva,fulva,LEX_SHC_1,SHC1,LEX2,41.1,0.9925,deciduous forest,deciduous forest,soil,"ANBE,MH,SHC",91
45,20140625,Lexington,VA,QR,LEX,37.686389,-79.2375,Aphaenogaster,rudis,rudis,LEX_SHC_2,SHC2,LEX3,41.65,0.76625,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",91
46,20140625,Lexington,VA,QR,LEX,37.686389,-79.2375,Aphaenogaster,rudis,rudis,LEX_SHC_3,SHC3,LEX4,40.975,0.78625,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",91
47,20140625,Lexington,VA,QR,LEX,37.686389,-79.2375,Aphaenogaster,rudis,rudis,LEX5,LEX5,LEX5,41.425,0.87,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",91
48,20140625,Lexington,VA,QR,LEX,37.686389,-79.2375,Aphaenogaster,rudis,rudis,Lex_SHC_4,SHC4,LEX6,41.7,1.525,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",91
49,20140625,Lexington,VA,QR,LEX,37.686389,-79.2375,Aphaenogaster,rudis,rudis,Lex_SHC_5,SHC5,LEX7,41.8,0.73,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",91
50,20140625,Lexington,VA,QR,LEX,37.686389,-79.2375,Aphaenogaster,rudis,rudis,Lex_SHC_6,SHC6,LEX8,41.2,0.84875,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",91
51,20140625,Lexington,VA,QR,LEX,37.686389,-79.2375,Aphaenogaster,tennesseensis,tennesseensis,LEX9,LEX9,LEX9,40.425,0.97625,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",91
52,20140625,Lexington,VA,?,LEX,37.686389,-79.2375,Aphaenogaster,rudis,rudis,Lex_SHC_7,SHC7,LEX10,40.6,0.52,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",91
53,20140625,Lexington,VA,?,LEX,37.686389,-79.2375,Aphaenogaster,rudis,rudis,Lex_SHC_8,SHC8,LEX11,41.6,1.09,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",91
54,20140625,Lexington,VA,QL,LEX,37.686389,-79.2375,Aphaenogaster,?,rudis,Lex_SHC_9,SHC9,LEX12,40.35,0.89,deciduous forest,deciduous forest,tree,"ANBE,MH,SHC",91
55,20140625,Lexington,VA,QL,LEX,37.686389,-79.2375,Aphaenogaster,rudis,rudis,Lex11,LEX11,LEX13,42,0.95625,deciduous forest,deciduous forest,tree,"ANBE,MH,SHC",91
56,20140625,Lexington,VA,QR,LEX,37.686389,-79.2375,Aphaenogaster,rudis,rudis,Lex_SHC_10,SHC10,LEX14,40.033,0.5975,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",91
57,20140625,Lexington,VA,QR,LEX,37.73136,-79.30988,Aphaenogaster,rudis,rudis,Lex13,LEX13,LEX15,41.15,0.79,deciduous forest,deciduous forest,tree,"ANBE,MH,SHC",100
58,20140626,Cabin John,MD,QR,CJ,39.036667,-77.1525,Aphaenogaster,fulva,fulva,CJ1,CJ1,CJ1,41.425,0.93125,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",85
59,20140626,Cabin John,MD,QR,CJ,39.036667,-77.1525,Aphaenogaster,fulva,fulva,CJ2,CJ2,CJ2,40.925,0.93625,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",85
60,20140626,Cabin John,MD,QR,CJ,39.036667,-77.1525,Aphaenogaster,rudis,rudis,CJ3,CJ3,CJ3,41.8333,0.82125,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",85
61,20140626,Cabin John,MD,QR,CJ,39.036667,-77.1525,Aphaenogaster,rudis,rudis,CJ4,CJ4,CJ4,41.4,0.54375,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",85
62,20140626,Cabin John,MD,QR,CJ,39.036667,-77.1525,Aphaenogaster,rudis,rudis,CJ5,CJ5,CJ5,41.5,0.70875,deciduous forest,deciduous forest,log,"ANBE,MH,SHC",85
63,20140626,Cabin John,MD,QR,CJ,39.036667,-77.1525,Aphaenogaster,fulva,fulva,CJ6,CJ6,CJ6,40.525,0.8725,deciduous forest,deciduous forest,tree,"ANBE,MH,SHC",85
64,20140626,Cabin John,MD,QR,CJ,39.036667,-77.1525,Aphaenogaster,rudis,rudis,CJ7,CJ7,CJ7,40.25,0.57125,deciduous forest,deciduous forest,tree,"ANBE,MH,SHC",85
65,20140626,Cabin John,MD,QR,CJ,39.036667,-77.1525,Aphaenogaster,fulva,fulva,CJ8,CJ8,CJ8,41.45,0.92125,deciduous forest,deciduous forest,tree,"ANBE,MH,SHC",85
66,20140626,Cabin John,MD,QR,CJ,39.036667,-77.1525,Aphaenogaster,rudis,rudis,CJ9,CJ9,CJ9,41.825,0.8,deciduous forest,deciduous forest,tree,"ANBE,MH,SHC",85
67,20140626,Cabin John,MD,QR,CJ1,39.036667,-77.1525,Aphaenogaster,fulva,fulva,CJ10,CJ10,CJ10,41.085,1.1425,deciduous forest,deciduous forest,tree,"ANBE,MH,SHC",85
68,201406,Yates Mill,NC,QL,YATES,35.718865,-78.691229,Aphaenogaster,ashmeadi,ashmeadi,Yates1,YATES1,YATES1,42.75,0.96125,deciduous forest,deciduous forest,soil,"ANBE,KM,CP",99
69,201406,Yates Mill,NC,QR,YATES,35.718865,-78.691229,Aphaenogaster,rudis,rudis,Yates2,YATES2,YATES2,40.925,0.34375,deciduous forest,deciduous forest,soil,"ANBE,KM,CP",99
70,201406,Yates Mill,NC,QR,YATES,35.718865,-78.691229,Aphaenogaster,rudis,rudis,Yates3,YATES3,YATES3,41.775,0.3975,deciduous forest,deciduous forest,soil,"ANBE,KM,CP",99
71,201406,Harvard Forest,MA,QR,HF,42.5313,-72.1898,Aphaenogaster,picea,picea,HF1,HF1,HF1,41.4,1.14,deciduous forest,deciduous forest,soil,KM,90
72,201406,Harvard Forest,MA,QR,HF,42.5313,-72.1898,Aphaenogaster,picea,picea,HF2,HF2,HF2,41.475,0.97,deciduous forest,deciduous forest,soil,KM,90
73,201406,Harvard Forest,MA,QL,HF,42.5313,-72.1898,Aphaenogaster,picea,picea,HF3,HF3,HF3,41.25,1.16875,deciduous forest,deciduous forest,soil,KM,90
74,201406,East Woods,VT,QR,EW,44.439406,-73.196861,Aphaenogaster,picea,picea,ted3,TED3,EW1,41.25,0.68,deciduous forest,deciduous forest,log,"TH,ANBE,KM,JSG",70
75,201406,East Woods,VT,QR,EW,44.439406,-73.196861,Aphaenogaster,picea,picea,ted4,TED4,EW2,41.325,0.76625,deciduous forest,deciduous forest,log,"TH,ANBE,KM,JSG",70
76,201406,East Woods,VT,QR,EW,44.439406,-73.196861,Aphaenogaster,picea,picea,ted6,TED6,EW3,41.25,0.93875,deciduous forest,deciduous forest,log,"TH,ANBE,KM,JSG",70
77,20140803,Van Atta Woods,MI,QL,VAN,42.712083,-84.3732,Aphaenogaster,picea,picea,mic1,MIC1,VAN1,41.4,0.695,deciduous forest,deciduous forest,soil,Bernice,83
78,20140803,Van Atta Woods,MI,QL,VAN,42.712083,-84.3732,Aphaenogaster,picea,picea,mic2,MIC2,VAN2,40.725,0.59375,deciduous forest,deciduous forest,soil,Bernice,83
79,2007,Sinton,TX,QR,WWR,28.10837,-97.42265,Pogonomyrmex,barbatus,barbatus,PB17-10,PB17-10,PB17-10,47.8,3.04125,desert,desert,soil,SHC,35
80,2007,Sinton,TX,QR,WWR,28.10837,-97.42265,Pogonomyrmex,barbatus,barbatus,PB17-14,PB17-14,PB17-14,47.975,3.0225,desert,desert,soil,SHC,35
81,2007,Sinton,TX,QR,WWR,28.10837,-97.42265,Pogonomyrmex,barbatus,barbatus,PB07-23,PB07-23,PB07-23,48.05,2.495,desert,desert,soil,SHC,35
82,20110411,Baker's field,CA,QR,BF,35.436099,-118.861492,Messor,pergandei,pergandei,BK6-1,BK6-1,BK6-1,44.366,0.7225,desert,desert,soil,KH,0
83,20110317,Tuscan,AZ,QR,TUS,32.371017,-111.376006,Messor,pergandei,pergandei,TU6-4,TU6-4,TU6-4,45.133,0.86875,desert,desert,soil,KH,0
84,20130312,Phoenix,AZ,QR,PHX,33.548913,-113.179173,Messor,pergandei,pergandei,SAL13-14,SAL13-14,SAL13-14,45.05,0.7575,desert,desert,,KH,0
85,,Exit69,AZ,QR,EXIT,33.564271,-113.173447,Messor,pergandei,pergandei,exit65,EXIT65,EXIT65,44.675,0.79125,desert,desert,soil,KH,0
86,2013,Mike's House,OH,QR,MA,39.178879,-84.621252,Aphaenogaster,rudis,rudis,MA,MA,MA,40.95,0.4175,,deciduous forest,,MH,70
87,2013,Neshaminy State Park,PA,,NSP,,,Camponotus,Camponotus,Camponotus,camp_NSP,CAMP,CAMP,42.4,2.49125,deciduous forests,deciduous forest,log,ANBE,
88,2014,UVM,,QR,UVM,44.439406,-73.196861,Formica,Formica,Formica,sidewalk,FORMICA,FORMICA,46.4,,deciduous forests,deciduous forest,soil,ANBE,70
89,2007,Welder Refuge,TX,QR,WWR,28.11785,-97.32236,Crematogaster,,Crematogaster,crematogaster,CREMATO,Crematogaster,47.23333333,0.26125,,deciduous forest,,HA,0
90,2013,Chittenden County,Vt,QR,UVM,44.439406,-73.196861,Tetramorium,caespetum,caespetum,AS4,AS4,AS4,44.15,0.11375,city,city,,ANBE,70
91,20141011,Alachua Co,FL,QR,ALA,29.69195,-82.4338,Aphaenogaster,miamiana,miamiana,Ala1,ALA1,ALA1,42,0.66375,deciduous forests,deciduous forest,soil,LD,98
92,20141011,Alachua Co,FL,QR,ALA,29.69195,-82.4338,Aphaenogaster,miamiana,miamiana,Ala2,ALA2,ALA2,41.925,0.5,deciduous forests,deciduous forest,soil,LD,98
93,20141013,Alachua Co,FL,QR,ALA,29.69195,-82.4338,Aphaenogaster,miamiana,miamiana,Ala3,ALA3,ALA3,38.6,,deciduous forests,deciduous forest,soil,LD + Marc Seid +students,98
94,20141013,Alachua Co,FL,QL,ALA,29.69195,-82.4338,Aphaenogaster,miamiana,miamiana,Ala4,ALA4,ALA4,41.75,0.50875,deciduous forests,deciduous forest,soil,LD + Marc Seid +students,98
95,20141012,Alachua Co,FL,QR,ALA,29.69195,-82.4338,Aphaenogaster,miamiana,miamiana,Ala5,ALA5,ALA5,38.85,,deciduous forests,deciduous forest,soil,LD + Marc Seid +students,98
96,20130905,Durham,NC,QR,DUR,36.0364,-79.0772,Aphaenogaster,rudis,,ApGXL-09-A,09-A,09-A,40.825,,mixed hardwoods,deciduous forest,log,"Clint Penick, Joseph Karlik, Lauren Nichols",94
97,2013,Lynchburg,VA,QR,LYN,37.4211,-79.181,Aphaenogaster,rudis,,ApGXL-10-A,10-A,10-A,39.125,,mixed hardwoods,deciduous forest,log,"Clint Penick, Joseph Karlik, Tate Holbrook, Jackie",100
98,20150609,Unity,ME,,UN,44.603463,-69.336624,Aphaenogaster,picea,picea,Unity,Unit22-1,Unit22-1,40.9,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",90
99,20150610,Cambridge,ME,,CAM,45.004231,-69.484431,Aphaenogaster,picea,picea,Cambridge,Camb31-1,Camb31-1,36.75,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",74
100,20150610,Greenbush,ME,,GB,45.092804,-68.647857,Aphaenogaster,picea,picea,Greenbush,GB33-1,GB33-1,40.725,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",73
101,20150611,Burnham,ME,,BUR,44.694142,-69.417231,Aphaenogaster,picea,picea,Burnham,Burn21-1,Burn21-1,41.25,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",81
102,20150612,Norridgewock,ME,,NORR,44.702486,-69.815436,Aphaenogaster,picea,picea,Norridgewock,Norr20-1,Norr20-1,39.475,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",85
103,20150612,New Sharon,ME,,NS,44.606837,-70.033464,Aphaenogaster,picea,picea,New Sharon,NewSh20-2,NewSh20-2,38.45,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",74
104,20150614,Avon,ME,,AVON,44.766747,-70.299054,Aphaenogaster,picea,picea,Avon,Avon19-1,Avon19-1,40.4,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",81
105,20150614,Avon_1,ME,,AVON,44.766793,-70.299085,Aphaenogaster,picea,picea,Avon_1,Avon19-2,Avon19-2,39.2,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",81
106,20150614,Avon_2,ME,,AVON,44.766793,-70.299085,Aphaenogaster,picea,picea,Avon_2,Avon19-3,Avon19-3,39.475,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",81
107,20150619,Greenfield,ME,,GF,45.047753,-68.481354,Aphaenogaster,picea,picea,Greenfield,GF34-1,GF34-1,41.225,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",77
108,20150622,Bingham,ME,,BING,44.981915,-69.866876,Aphaenogaster,picea,picea,Bingham,Bing,Bing,41.325,,mixed hardwoods,deciduous forest,soil,"Jordan Zitnay, Megan Brown",87
109,20150622,New Portland,ME,,NP,44.88763,-70.073138,Aphaenogaster,picea,picea,New Portland,NP20-3,NP20-3,40.05,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",82
110,20150622,Phillips,ME,,PHIL,44.855282,-70.447171,Aphaenogaster,picea,picea,Phillips,Phil20-4,Phil20-4,40.725,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",57
111,20150624,Canaan,ME,,CAN,44.761392,-69.560339,Aphaenogaster,picea,picea,Canaan,Can21-2,Can21-2,41.275,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",74
112,20150624,Palmyra,ME,,PAL,44.868416,-69.402753,Aphaenogaster,picea,picea,Palmyra,Pal21-3,Pal21-3,41,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",68
113,20150624,Hampden,ME,,HAMP,44.734057,-68.943082,Aphaenogaster,picea,picea,Hampden,Hamp23-1,Hamp23-1,41.475,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",68
114,20150625,Monroe,ME,,MON,44.63792,-68.973818,Aphaenogaster,picea,picea,Monroe,Mon22-2,Mon22-2,40.275,,mixed hardwoods,deciduous forest,soil,"Jordan Zitnay, Megan Brown",83
115,20150707,Saponac,ME,,SAP,45.172411,-68.334465,Aphaenogaster,picea,picea,Saponac,Sap,Sap,38.975,,mixed hardwoods,deciduous forest,log,"Jordan Zitnay, Megan Brown",74
